Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.08000001	0.05166509	0.05078498	0.05119992	0.05150462	0.05129416	0.05175252	0.05154301	0.05162954	0.05151682	0.05125152	0.05105019	0.05135117	0.05160099	0.05160799	0.05119824	0.05107936	0.0511002	0.05105854	0.05132444	0.05082147	0.05119896	0.05181922	0.05127399	0.0511463	0.05111549	
0.082	0.05178936	0.05097808	0.05140972	0.05164502	0.05148495	0.05189054	0.05181551	0.0517554	0.05162582	0.05152009	0.05118648	0.05147206	0.05174746	0.05168821	0.05131416	0.05132001	0.05120829	0.05125556	0.05151688	0.05110643	0.05132066	0.05202004	0.05152445	0.05130824	0.05125573	
0.08400001	0.05191891	0.05123112	0.05152488	0.05182235	0.05164069	0.05200701	0.05204949	0.05187427	0.0517832	0.05173787	0.05145051	0.05159834	0.05200861	0.05182911	0.05148977	0.05146542	0.05144816	0.05145217	0.05170937	0.05133953	0.05145548	0.05223857	0.0517033	0.05142542	0.05149677	
0.086	0.05207634	0.05139019	0.05159946	0.05204023	0.05189191	0.05207357	0.05217278	0.05196732	0.0518683	0.05189282	0.05161643	0.05172915	0.05214378	0.05191732	0.05157372	0.05163768	0.0516108	0.05161878	0.05186708	0.05148227	0.05169196	0.0524061	0.05189355	0.05155656	0.05173278	
0.08800001	0.05225464	0.05146012	0.05166756	0.05218481	0.0519972	0.05229956	0.05227749	0.05214238	0.05210287	0.05200239	0.05173274	0.05179369	0.05237459	0.05203193	0.05162754	0.05183315	0.051825	0.05167102	0.05197136	0.05163843	0.05183591	0.05255271	0.051944	0.0516559	0.05191848	
0.09	0.05235136	0.05153058	0.05180151	0.05226622	0.05218156	0.05246661	0.05234591	0.05225787	0.05226567	0.05208668	0.05194025	0.05185461	0.0524689	0.05213077	0.05172054	0.05204616	0.05190521	0.05175465	0.0520004	0.0518718	0.05202086	0.05274616	0.05210258	0.05177656	0.05201734	
0.09200001	0.05237994	0.05167952	0.05194977	0.05232027	0.05229566	0.05260082	0.05237454	0.05246202	0.05247702	0.05212584	0.05213968	0.0519272	0.05254915	0.05232677	0.05191772	0.05211125	0.05208754	0.05189423	0.05215557	0.05205752	0.05215285	0.05277308	0.0523013	0.05197145	0.05211013	
0.094	0.05250205	0.05171906	0.05206423	0.05242523	0.05246462	0.05262927	0.05248274	0.05260046	0.05254889	0.05220305	0.05217969	0.05206999	0.05272485	0.05236743	0.05201151	0.05227868	0.05210844	0.05202562	0.05224846	0.05217922	0.05228404	0.05278089	0.05245108	0.052139	0.05230233	
0.096	0.05267672	0.05191731	0.05213383	0.05245093	0.05264835	0.05269527	0.05254918	0.05274215	0.0526604	0.05237906	0.05226631	0.05221147	0.05282389	0.05238196	0.05218799	0.05244124	0.05216334	0.05215824	0.05230232	0.05234676	0.05245607	0.05279718	0.05246286	0.0522437	0.05232638	
0.098	0.05279685	0.0521071	0.05214467	0.05257317	0.05266996	0.05281616	0.05259785	0.05283166	0.05278947	0.05247235	0.0523692	0.05240302	0.05283608	0.05246071	0.05222752	0.05257697	0.05227596	0.05235565	0.05236606	0.05239444	0.05247466	0.05296249	0.05253969	0.05235868	0.05238537	
0.1	0.05279317	0.05221684	0.0522563	0.05260786	0.0526919	0.05282354	0.05270063	0.05298069	0.05278813	0.0526011	0.0525013	0.05258908	0.0529429	0.05249151	0.05237689	0.05261161	0.05239281	0.05242744	0.05240352	0.05254551	0.05247021	0.0531397	0.05254998	0.052519	0.05252398	
0.102	0.05286463	0.05237099	0.05239876	0.05276336	0.05281824	0.052999	0.05268797	0.05300125	0.05286086	0.05270046	0.05267289	0.0527336	0.05303528	0.05257594	0.05248431	0.05276991	0.05250841	0.05244929	0.05248636	0.0527047	0.05257353	0.05325409	0.05268778	0.0526927	0.05258319	
0.104	0.05295694	0.05236615	0.05250408	0.05274378	0.05282934	0.05306148	0.05285107	0.0531359	0.05286157	0.05283318	0.05269879	0.052892	0.05311757	0.0525898	0.05259646	0.05288696	0.05267063	0.05258555	0.05247201	0.05277446	0.05261777	0.0532986	0.05270863	0.05278283	0.0527207	
0.106	0.05308564	0.05241707	0.05257336	0.05275748	0.05283824	0.05320474	0.05285784	0.05319098	0.05285611	0.05287219	0.05269759	0.05287683	0.05314712	0.05265769	0.05263682	0.05291364	0.05270313	0.05264945	0.05257284	0.05283085	0.0527816	0.05339219	0.05279625	0.05277636	0.05281184	
0.108	0.05313411	0.05246617	0.0527093	0.05282983	0.05285878	0.05328099	0.0530155	0.0532612	0.05291073	0.05289752	0.05283745	0.05299784	0.05323999	0.05274838	0.052607	0.05296816	0.05281164	0.05262051	0.05255404	0.05282923	0.05280241	0.05349007	0.05280725	0.05284123	0.0529562	
0.11	0.05320011	0.05244883	0.05281887	0.05281184	0.05297166	0.05343561	0.05303625	0.05341088	0.05300973	0.05289094	0.05291673	0.0531565	0.05326392	0.05288241	0.05260395	0.05298622	0.05290502	0.05265578	0.05265507	0.05284302	0.05291013	0.05347084	0.05288456	0.05291818	0.05302215	
0.112	0.05324956	0.05245641	0.05282698	0.05285451	0.05307112	0.05347443	0.05299873	0.05354397	0.05298459	0.05303178	0.05290892	0.05319416	0.05329654	0.05302896	0.05275806	0.05308764	0.05286483	0.05281326	0.05274545	0.05287646	0.0529946	0.05356755	0.05291149	0.05295791	0.05299007	
0.114	0.05333686	0.05261719	0.05283434	0.05281936	0.05315783	0.05359951	0.05302389	0.05350377	0.05297732	0.05303705	0.05294359	0.05328344	0.05334162	0.0531291	0.05291506	0.05306819	0.05299334	0.0527792	0.05279697	0.05289394	0.05298962	0.05367555	0.05302717	0.05292745	0.05307673	
0.116	0.0534465	0.05266042	0.05290649	0.05296342	0.05319161	0.05362024	0.05311415	0.05356443	0.05296404	0.05313866	0.05297041	0.05323853	0.05345555	0.05309689	0.05299632	0.0530741	0.0529958	0.05292753	0.05286125	0.0528585	0.05306913	0.05378566	0.05308564	0.05300692	0.05308666	
0.118	0.05351591	0.05276903	0.05304273	0.05298413	0.0531796	0.05374895	0.0530988	0.05354943	0.05294801	0.05322406	0.0529734	0.05329462	0.05340113	0.05306337	0.05311033	0.05308799	0.05294282	0.05289395	0.05299879	0.05290981	0.05303346	0.0537499	0.05316159	0.05300748	0.05308669	
0.12	0.05348525	0.05278508	0.05315164	0.05296582	0.05331379	0.05378249	0.05313225	0.05351364	0.05302984	0.0532863	0.0530875	0.05336833	0.05339887	0.05307725	0.05315184	0.05308102	0.05294472	0.05298587	0.05304448	0.05300932	0.05306	0.05376339	0.05311941	0.05304221	0.0532046	
0.122	0.05361398	0.05278979	0.05312597	0.05296313	0.05342254	0.05383177	0.05315204	0.05350895	0.05304109	0.05336222	0.05305941	0.05335987	0.05334692	0.0530885	0.05327464	0.05316407	0.05297982	0.05297723	0.05298506	0.05301354	0.0530494	0.05385546	0.05306285	0.05313087	0.05319454	
0.124	0.05358434	0.052756	0.05316926	0.05304031	0.05351845	0.05377316	0.05317242	0.05364096	0.05313011	0.05341992	0.05311199	0.05341592	0.05338418	0.05319769	0.0533523	0.05319782	0.05307536	0.05291799	0.05295544	0.0530356	0.05314186	0.05390666	0.05306114	0.05312482	0.05332842	
0.126	0.05351309	0.05284652	0.0532906	0.05303935	0.05350812	0.05385729	0.05326916	0.05375283	0.05323331	0.05338121	0.05311336	0.05353057	0.05337115	0.05329677	0.05346059	0.05332921	0.05308593	0.05288761	0.05290935	0.05305655	0.05316509	0.05387909	0.05315993	0.05311266	0.05344291	
0.128	0.05347355	0.05283944	0.05336729	0.05300253	0.0534652	0.05395711	0.05329258	0.05380978	0.05335806	0.0533772	0.05316002	0.05354049	0.05335247	0.05335534	0.05341952	0.05341399	0.05310247	0.05287612	0.05285832	0.05311998	0.05314691	0.05398948	0.0532089	0.0531465	0.05338112	
0.13	0.05348712	0.05294244	0.05349414	0.05303879	0.05349507	0.05397987	0.05327463	0.0538068	0.05341981	0.05332895	0.05309882	0.05359595	0.05332982	0.05338531	0.05350379	0.0535227	0.05322128	0.05293597	0.0528679	0.05324245	0.05323268	0.05408785	0.05314202	0.05309936	0.05331235	
